supplement,alt name,"evidence level - score. 0 = no evidence, 1,2 = slight, 3 = conflicting , 4 = promising, 5 = good, 6 = strong ",Claimed improved aspect of fitness,fitness category,sport or exercise type tested,OTW,popularity,number of studies examined,number of citations,efficacy,notes,exclude,,Cochrane systematic review,Other International review board or metastudy,no. of studies in Cochrane metastudy,no. of studies in metastudy,year(s) of metastudy,No. of individual studies / reviews,N positive studies / trials,% positive studies/ trials,main study source,Link to main individual study,,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study
Isoflavones,,0,muscle soreness,recovery–injury prevention,weight training,,2160,1,469,,,,,0,0,0,0,-,1,0,0.00%,Lenn et al (2002),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/821/CN-00443821/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/821/CN-00443821/frame.html,,,,,,,,,,,,,,,,,,,,
Isoflavones,,2,body weight + fat loss in postmenopausal women,fat burning–muscle building,"weight training, other",,2160,2,469,,"May help overweight postmenopausal women lose weight, body fat and abdominal fat, in combination with aerobic exercise or resistance training.",,,0,0,0,0,-,2,1.5,75.00%,Choquette et al (2011),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/410/CN-00780410/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/410/CN-00780410/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/213/CN-00609213/frame.html,,,,,,,,,,,,,,,,,,,
L-arginine,,1,aerobic fitness,aerobic–endurance,"cycling, weight training",,4060,4,1600,,,,,0,0,0,0,-,4,1,25.00%,Sunderland et al (2011),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/397/CN-00785397/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/397/CN-00785397/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/910/CN-00769910/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/490/CN-00722490/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/695/CN-00702695/frame.html,,,,,,,,,,,,,,,,,
L-arginine,,3,general exercise performance,general fitness,other,,4060,1,1600,,A 2011 review noted 3 out of 5 studies found significant improvements in exercise performance after short-term L-arginine supplementation and 4 out of 8 after long-term supplementation.,,,0,1,0,0,2011,0,-,-,Alvares et al (2011),http://www.ncbi.nlm.nih.gov/pubmed/21395365,,http://www.ncbi.nlm.nih.gov/pubmed/21395365,,,,,,,,,,,,,,,,,,,,
L-arginine,,0,strength,strength–power,weight training,,4060,1,1600,,,,,0,1,0,0,2011,1,-,-,Alvares et al (2012),http://www.ncbi.nlm.nih.gov/pubmed/22251130,,http://www.ncbi.nlm.nih.gov/pubmed/22251130,,,,,,,,,,,,,,,,,,,,
L-carnitine LT,L-carnitine L-tartrate,1,metabolism,fat burning–muscle building,cycling,,15600,3,1300,,,,,0,0,0,0,-,3,0.5,16.67%,Abramowicz and Galloway (2005),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/935/CN-00531935/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/935/CN-00531935/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/878/CN-00666878/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/630/CN-00555630/frame.html,,,,,,,,,,,,,,,,,,
L-carnitine LT,L-carnitine L-tartrate,0,endurance,aerobic–endurance,cycling,,15600,1,1300,,,,,0,0,0,0,-,1,0,0.00%,Broad et al (2005),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/630/CN-00555630/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/630/CN-00555630/frame.html,,,,,,,,,,,,,,,,,,,,
L-carnitine LT,L-carnitine L-tartrate,5,muscle damage,recovery–injury prevention,"cycling, weight training",,15600,6,1300,,Reduces exercise-induced muscle damage and may promote muscle recovery.,,,0,0,0,0,-,6,5.5,91.67%,Spiering et al (2008),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/968/CN-00648968/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/935/CN-00531935/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/968/CN-00648968/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/660/CN-00578660/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/081/CN-00571081/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/474/CN-00457474/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/009/CN-00377009/frame.html,,,,,,,,,,,,,,,
Medium chain triglycerides ,,0,endurance,aerobic–endurance,running,,801,1,22,,,,,0,0,0,0,-,1,0,0.00%,Oopik et al (2001),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/662/CN-00442662/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/662/CN-00442662/frame.html,,,,,,,,,,,,,,,,,,,,
Phosphatidylserine,,1,high-intensity aerobic endurance,aerobic–endurance,cycling,OTW,805,1,67,,,,,0,0,0,0,-,1,1,100.00%,Kingsley et al (2006a),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/060/CN-00554060/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/060/CN-00554060/frame.html,,,,,,,,,,,,,,,,,,,,
Phosphatidylserine,,0,muscle damage,recovery–injury prevention,running,,805,1,67,,,,,0,0,0,0,-,1,0,0.00%,Kingsley et al (2006b),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/066/CN-00572066/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/066/CN-00572066/frame.html,,,,,,,,,,,,,,,,,,,,
Potassium phosphate,,1,perceived exertion,sports psychology,running,OTW,1390,1,16,,,,,0,0,0,0,-,1,1,100.00%,Goss et al (2001),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/833/CN-00372833/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/833/CN-00372833/frame.html,,,,,,,,,,,,,,,,,,,,
Pyruvate,,0,"aerobic performance, metabolism, weight loss, muscle mass","aerobic–endurance, fat burning–muscle building, general fitness","cycling, football",,677,2,319,,,,,0,0,0,0,-,2,0,0.00%,Morrison et al (2000),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/300/CN-00372300/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/300/CN-00372300/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/503/CN-00742503/frame.html,,,,,,,,,,,,,,,,,,,
Quercetin,,2,aerobic endurance,aerobic–endurance,cycling,,2490,3,199,,,,,0,0,0,0,-,3,2,66.67%,Nieman et al (2010),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/310/CN-00742310/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/310/CN-00742310/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/984/CN-00734984/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/506/CN-00733506/frame.html,,,,,,,,,,,,,,,,,,
Quercetin,,1,illnesses following heavy exercise,general fitness,cycling,OTW,2490,1,199,,A trial from 2007 found quercetin reduced the number of colds experienced by cyclists after 2 weeks of intensive training.,,,0,0,0,0,-,1,1,100.00%,Nieman et al (2007),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/198/CN-00619198/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/198/CN-00619198/frame.html,,,,,,,,,,,,,,,,,,,,
Quercetin,,0,repeated sprint performance,anaerobic–high-intensity,running,,2490,1,199,,,,,0,0,0,0,-,1,0,0.00%,Abbey and Rankin (2011),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/586/CN-00788586/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/586/CN-00788586/frame.html,,,,,,,,,,,,,,,,,,,,
Quercetin,,1,inflammation,recovery–injury prevention,"running, cycling",,2490,3,199,,,,,0,0,0,0,-,3,1.5,50.00%,Nieman et al (2009),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/037/CN-00761037/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/586/CN-00788586/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/037/CN-00761037/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/987/CN-00618987/frame.html,,,,,,,,,,,,,,,,,,
Quercetin,,0,perceived exertion,sports psychology,"running, cycling",,2490,2,199,,A 2009 trial testing 63 ultramarathon runners competing in a 160km race found quercetin had no effect on tiredness ratings. ,,,0,0,0,0,-,2,0,0.00%,Utter et al (2009),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/881/CN-00722881/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/881/CN-00722881/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/120/CN-00742120/frame.html,,,,,,,,,,,,,,,,,,,
Rhodiola Rosea L.,,0,aerobic performance,aerobic–endurance,other,,810,1,26,,,,,0,0,0,0,-,1,0,0.00%,Parisi et al (2010),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/363/CN-00770363/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/363/CN-00770363/frame.html,,,,,,,,,,,,,,,,,,,,
Rhodiola Rosea L.,,2,muscle damage,recovery–injury prevention,"rowing, other",OTW,810,2,26,,,,,0,0,0,0,-,2,1.5,75.00%,Skarpanska-Stejnborn et al (2009),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/769/CN-00702769/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/363/CN-00770363/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/769/CN-00702769/frame.html,,,,,,,,,,,,,,,,,,,
Ribose,D-ribose,0,repeated sprint performance,anaerobic–high-intensity,"cycling, other",,1490,4,201,,,,,0,0,0,0,-,4,0,0.00%,Peveler et al (2006),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/874/CN-00571874/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/629/CN-00555629/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/157/CN-00436157/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/314/CN-00435314/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/874/CN-00571874/frame.html,,,,,,,,,,,,,,,,,
Ribose,D-ribose,0,endurance,aerobic–endurance,rowing,,1490,1,201,,,,,0,0,0,0,-,1,0,0.00%,Dunne et al (2006),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/854/CN-00561854/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/854/CN-00561854/frame.html,,,,,,,,,,,,,,,,,,,,
Ribose,D-ribose,1,strength,strength–power,weight training,OTW,1490,2,201,,,,,0,0,0,0,-,2,1,50.00%,Van Gammeren et al (2002),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/658/CN-00443658/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/658/CN-00443658/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/629/CN-00374629/frame.html,,,,,,,,,,,,,,,,,,,
Ribose,D-ribose,0,body composition,fat burning–muscle building,weight training,,1490,1,201,,,,,0,0,0,0,-,1,0,0.00%,Van Gammeren et al (2002),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/658/CN-00443658/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/658/CN-00443658/frame.html,,,,,,,,,,,,,,,,,,,,
Sour cherry juice,tart cherry juice,2,muscle damage + inflammation,recovery–injury prevention,"running, weight training",OTW,234,2,30,,"Consumed over several days, can reduce inflammation, increase antioxidant production, reduce muscle pain and speed recovery of strength after heavy exercise like weights or marathon running. ",,,0,0,0,0,-,2,2,100.00%,Howatson et al (2010),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/068/CN-00778068/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/068/CN-00778068/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/005/CN-00566005/frame.html,,,,,,,,,,,,,,,,,,,
Soy protein,,1,high intensity endurance,"aerobic–endurance, anaerobic–high-intensity",cycling,OTW,24100,1,424,,"In a 2010 trial, soy protein + carbohydrate increased time-to-exhaustion in male cyclists by 37% relative to carbohydrate alone. ",,,0,0,0,0,-,1,1,100.00%,Ghosh et al (2010),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/777/CN-00759777/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/777/CN-00759777/frame.html,,,,,,,,,,,,,,,,,,,,
Soy protein,,1,calorie + fat burning in postmenopausal women,fat burning–muscle building,weight training,OTW,24100,2,424,,Might enhance the calorie-burning effects of exercise. A 2010 study of 60 postmenopausal women found those in the soy + weight training group burned 48 calories per day more than the placebo + weights group.,,,0,0,0,0,-,2,1,50.00%,Trevisan et al (2010),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/204/CN-00802204/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/204/CN-00802204/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/125/CN-00586125/frame.html,,,,,,,,,,,,,,,,,,,
Spirulina,Spirulina platensis,2,endurance performance,aerobic–endurance,running,OTW,7670,2,48,,"3-4 weeks of spirulina delayed fatigue among trained and untrained trial runners, possibly by sparing carb fuel and increasing fat metabolism, or preventing muscle damage. ",,,0,0,0,0,-,2,2,100.00%,Kalafati et al (2010),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/748/CN-00732748/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/748/CN-00732748/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/943/CN-00571943/frame.html,,,,,,,,,,,,,,,,,,,
Spirulina,Spirulina platensis,2,"muscle damage, fat burning","recovery–injury prevention, fat burning–muscle building",running,OTW,7670,2,48,,,,,0,0,0,0,-,2,2,100.00%,Lu et al (2006),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/943/CN-00571943/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/748/CN-00732748/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/943/CN-00571943/frame.html,,,,,,,,,,,,,,,,,,,
Taurine,,0.5,"endurance performance, metabolism","aerobic–endurance, fat burning–muscle building",cycling,OTW,2560,1,575,,1.66 grams of taurine - a can of energy drink contains 1 gram - before a time trial did not enhance trained cyclists' performance but did slightly increase fat burning.,,,0,0,0,0,-,1,0.5,50.00%,Rutherford et al (2010),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/746/CN-00762746/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/746/CN-00762746/frame.html,,,,,,,,,,,,,,,,,,,,
Tribulus terrestris,"devil's thorn, tackweed",0,"strength, body composition, testosterone","strength–power, fat burning-muscle building",weight training,,2190,3,39,,"Previously thought to affect testosterone, posing a possible doping test risk, but a 2007 study found T. Terrestris had no effects on this hormone.",,,0,0,0,0,-,3,0,0.00%,Rogerson et al (2007),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/231/CN-00589231/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/231/CN-00589231/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/025/CN-00332025/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/836/CN-00297836/frame.html,,,,,,,,,,,,,,,,,,
Tyrosine,,1,exercise tolerance in hot conditions,"aerobic–endurance, sports psychology",cycling,OTW,2340,1,164,,By boosting dopamine - a feel-good chemical - it may enable better heat tolerance. Cyclists given tyrosine in a 2011 study cycled significantly longer than those given a placebo. ,,,0,0,0,0,-,1,1,100.00%,Tumilty et al (2011),http://www.ncbi.nlm.nih.gov/pubmed/21437603,,http://www.ncbi.nlm.nih.gov/pubmed/21437603,,,,,,,,,,,,,,,,,,,,
Velvet antler,"Deer velvet antler, elk velvet antler",0,"endurance, strength, hormonal exercise response","aerobic–endurance, strength–power, general fitness","rowing, weight training",,1340,2,4,,"Made from the antlers of deer or elk. In a 2003 trial, it provided some strength and endurance gains against placebo, but more research is needed.",,,0,0,0,0,-,2,0.5,25.00%,Syrotuik et al (2005),http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/934/CN-00531934/frame.html,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/934/CN-00531934/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/523/CN-00459523/frame.html,,,,,,,,,,,,,,,,,,,
Whey protein,,3,weight + fat loss,fat burning–muscle building,weight training,,8610,3,320,,"Helps you shed fat without losing muscle too. In a 2011 study, those taking whey protein lost more weight and fat than those consuming the same daily calories as carbs. ",,,0,0,0,0,-,3,3,100.00%,Baer et al (2009),http://www.ncbi.nlm.nih.gov/pubmed/21677076,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/061/CN-00575061/frame.html,http://www.ncbi.nlm.nih.gov/pubmed/21677076,http://www.ncbi.nlm.nih.gov/pubmed/18371214,,,,,,,,,,,,,,,,,,
Whey protein,,6,"strength, muscle building + recovery","strength–power, recovery–injury prevention ","weight training, running",,8610,11,320,,"A majority of trials show whey protein - derived from milk - improves strength, helps build muscles and speeds recovery. May have the edge over other proteins: a 2009 study found muscle protein synthesis after whey consumption was 122% greater than casein and 31% greater than soy. ",,,0,0,0,0,-,11,10,90.91%,Tang et al (2009),http://www.ncbi.nlm.nih.gov/pubmed/19589961,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/142/CN-00772142/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/448/CN-00743448/frame.html,http://www.ncbi.nlm.nih.gov/pubmed/19589961,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/003/CN-00722003/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/095/CN-00733095/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/200/CN-00578200/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/671/CN-00628671/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/535/CN-00571535/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/061/CN-00575061/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/262/CN-00490262/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/987/CN-00516987/frame.html,,,,,,,,,,
